H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OO(r)

 Bin no.        r             g(r)        std.
    319  9.510011      1.011718     0.5327079E-01
    320  9.540010      1.011368     0.5366875E-01
    321  9.570010      1.011646     0.5364987E-01
    322  9.600010      1.011406     0.5416181E-01
    323  9.630010      1.010908     0.5267444E-01
    324  9.660009      1.010340     0.5382733E-01
    325  9.690009      1.010002     0.5369984E-01
    326  9.720009      1.008783     0.5332224E-01
    327  9.750009      1.008436     0.5286420E-01
    328  9.780008      1.007704     0.5294307E-01
    329  9.810008      1.007760     0.5296445E-01
    330  9.840008      1.007353     0.5317560E-01
    331  9.870008      1.006774     0.5146795E-01
    332  9.900007      1.006209     0.5243968E-01
    333  9.930007      1.005632     0.5232931E-01
    334  9.960007      1.005332     0.5105283E-01
    335  9.990006      1.005106     0.5212503E-01
    336  10.02001      1.004014     0.5115780E-01
    337  10.05001      1.002570     0.5098157E-01
    338  10.08001      1.003348     0.5357983E-01
    339  10.11001      1.001564     0.5184871E-01
    340  10.14001      1.002946     0.5028467E-01
    341  10.17000      1.001185     0.4707801E-01
    342  10.20000      1.000747     0.5090551E-01
    343  10.23000      1.001323     0.4708181E-01
    344  10.26000     0.9998637     0.5296220E-01
    345  10.29000      1.000158     0.5289463E-01
    346  10.32000     0.9996846     0.5027519E-01
    347  10.35000      1.000677     0.5226092E-01
    348  10.38000      1.000095     0.5463407E-01
    349  10.41000     0.9992883     0.4862016E-01
    350  10.44000     0.9998454     0.5079533E-01
    351  10.47000     0.9992517     0.5006431E-01
    352  10.50000     0.9996621     0.5112517E-01
    353  10.53000     0.9998385     0.4899386E-01
    354  10.56000     0.9986680     0.4949737E-01
    355  10.59000     0.9980339     0.4905161E-01
    356  10.62000     0.9991213     0.4806347E-01
    357  10.65000     0.9981772     0.4691694E-01
    358  10.68000     0.9975469     0.4722402E-01
    359  10.71000     0.9983029     0.4913296E-01
    360  10.74000     0.9982654     0.4910687E-01
    361  10.77000     0.9979984     0.4733055E-01
    362  10.80000     0.9979834     0.4836881E-01
    363  10.83000     0.9987924     0.4694235E-01
    364  10.86000     0.9994569     0.5031489E-01
    365  10.89000     0.9976403     0.4778176E-01
    366  10.92000     0.9970471     0.4641369E-01
    367  10.95000     0.9976270     0.4555104E-01
    368  10.98000     0.9967113     0.4840823E-01
    369  11.01000     0.9985175     0.4893299E-01
    370  11.04000     0.9977582     0.4954371E-01
    371  11.07000     0.9968111     0.4754353E-01
    372  11.10000     0.9970872     0.4571366E-01
    373  11.13000     0.9964284     0.4943531E-01
    374  11.16000     0.9968975     0.4506363E-01
    375  11.19000     0.9975240     0.4710902E-01
    376  11.22000     0.9956089     0.4401375E-01
    377  11.25000     0.9973372     0.4805851E-01
    378  11.27999     0.9964813     0.4591272E-01
    379  11.30999     0.9968432     0.4146008E-01
    380  11.33999     0.9958062     0.4547443E-01
    381  11.36999     0.9961808     0.4794241E-01
    382  11.39999     0.9958842     0.4522207E-01
    383  11.42999     0.9955760     0.4696837E-01
    384  11.45999     0.9954172     0.4520757E-01
    385  11.48999     0.9954658     0.4384755E-01
    386  11.51999     0.9958512     0.4547246E-01
    387  11.54999     0.9959311     0.4594841E-01
    388  11.57999     0.9970765     0.4015798E-01
    389  11.60999     0.9971855     0.4136437E-01
    390  11.63999     0.9972452     0.4543771E-01
    391  11.66999     0.9970305     0.4224832E-01
    392  11.69999     0.9972323     0.4579378E-01
    393  11.72999     0.9968225     0.4280336E-01
    394  11.75999     0.9964778     0.4532344E-01
    395  11.78999     0.9975673     0.4557197E-01
    396  11.81999     0.9972441     0.4008964E-01
    397  11.84999     0.9989418     0.4100981E-01
    398  11.87999     0.9988068     0.3991382E-01
    399  11.90999     0.9985330     0.3762776E-01
    400  11.93999     0.9989294     0.4537076E-01
    401  11.96999     0.9990008     0.4561250E-01
    402  11.99999     0.9988576     0.4412264E-01
    403  12.02999     0.9990673     0.4579638E-01
    404  12.05999     0.9994138     0.4637644E-01
    405  12.08999     0.9990346     0.4381083E-01
    406  12.11999     0.9998682     0.4509271E-01
    407  12.14999     0.9997003     0.4474106E-01
    408  12.17999      1.000198     0.4422114E-01
    409  12.20999      1.000687     0.4105194E-01
    410  12.23999      1.000979     0.3900294E-01
    411  12.26999      1.000600     0.4494708E-01
    412  12.29999      1.001203     0.3850462E-01
    413  12.32999      1.001468     0.3894483E-01
    414  12.35999      1.001770     0.4075467E-01
    415  12.38999      1.000339     0.4657010E-01
    416  12.41998      1.001565     0.3501525E-01
    417  12.44998      1.001621     0.3796838E-01
    418  12.47998      1.001760     0.3997052E-01
    419  12.50998      1.001990     0.4045521E-01
    420  12.53998      1.000420     0.4599055E-01
    421  12.56998      1.001823     0.3614765E-01
    422  12.59998      1.001879     0.3739578E-01
    423  12.62998      1.002261     0.4455416E-01
    424  12.65998      1.001877     0.4288405E-01
    425  12.68998      1.002123     0.4190125E-01
    426  12.71998      1.002778     0.4368685E-01
    427  12.74998      1.002493     0.4245942E-01
    428  12.77998      1.002765     0.4272810E-01
    429  12.80998      1.002746     0.4147374E-01
    430  12.83998      1.001994     0.4451401E-01
    431  12.86998      1.003389     0.3918742E-01
    432  12.89998      1.003013     0.3989739E-01
    433  12.92998      1.002059     0.4577100E-01
    434  12.95998      1.003060     0.4124459E-01
    435  12.98998      1.002664     0.3975071E-01
    436  13.01998      1.001870     0.4171591E-01
    437  13.04998      1.003731     0.4411453E-01
    438  13.07998      1.002674     0.4360901E-01
    439  13.10998      1.002855     0.4058760E-01
    440  13.13998      1.003330     0.4226948E-01
    441  13.16998      1.003397     0.4242712E-01
    442  13.19998      1.002573     0.4145649E-01
    443  13.22998      1.002985     0.3962606E-01
    444  13.25998      1.002403     0.4605660E-01
    445  13.28998      1.002951     0.4259957E-01
    446  13.31998      1.002715     0.4224409E-01
    447  13.34998      1.003175     0.4129514E-01
    448  13.37998      1.001878     0.4484352E-01
    449  13.40998      1.001688     0.4472374E-01
    450  13.43998      1.001780     0.4213531E-01
    451  13.46998      1.002610     0.4169590E-01
