H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OH(r)

 Bin no.        r             g(r)        std.
    460  13.73997      1.000279     0.3116596E-01
    461  13.76997      1.000064     0.2377333E-01
    462  13.79997      1.000132     0.2900037E-01
    463  13.82997     0.9998444     0.2211596E-01
    464  13.85997     0.9997837     0.2534481E-01
    465  13.88997     0.9999394     0.2287638E-01
    466  13.91997     0.9996929     0.2579124E-01
    467  13.94997     0.9991684     0.2882100E-01
    468  13.97997     0.9992262     0.2791970E-01
    469  14.00997     0.9991403     0.2722250E-01
    470  14.03997     0.9992424     0.2513819E-01
    471  14.06997     0.9991875     0.1761708E-01
    472  14.09997     0.9991907     0.2517491E-01
    473  14.12997     0.9990141     0.0000000E+00
    474  14.15997     0.9990940     0.2487840E-01
    475  14.18997     0.9991234     0.2473543E-01
    476  14.21997     0.9990556     0.1241762E-01
    477  14.24997     0.9990633     0.2753382E-01
    478  14.27997     0.9989653     0.8714145E-02
    479  14.30997     0.9991440     0.2773657E-01
    480  14.33997     0.9990144     0.1528367E-01
    481  14.36997     0.9989715     0.2563593E-01
    482  14.39997     0.9989209     0.1300837E-01
    483  14.42997     0.9991228     0.2400785E-01
    484  14.45997     0.9990505     0.2198622E-01
    485  14.48997     0.9988586     0.1037526E-01
    486  14.51997     0.9991798     0.2840542E-01
    487  14.54997     0.9990866     0.2769140E-01
    488  14.57997     0.9994434     0.2805387E-01
    489  14.60997     0.9990728     0.2426345E-01
    490  14.63997     0.9991422     0.2675541E-01
    491  14.66996     0.9992121     0.2927550E-01
    492  14.69996     0.9990932     0.2807936E-01
    493  14.72996     0.9992169     0.2859157E-01
    494  14.75996     0.9989610     0.2290112E-01
    495  14.78996     0.9990472     0.2358959E-01
    496  14.81996     0.9990018     0.1836093E-01
    497  14.84996     0.9992248     0.2681660E-01
    498  14.87996     0.9992683     0.2733830E-01
    499  14.90996     0.9992139     0.2745035E-01
    500  14.93996     0.9995473     0.3069674E-01
    501  14.96996     0.9991396     0.2235187E-01
    502  14.99996     0.9994084     0.2840018E-01
    503  15.02996     0.9997488     0.2898701E-01
    504  15.05996     0.9996907     0.3005410E-01
    505  15.08996      1.000090     0.2519266E-01
    506  15.11996     0.9994442     0.3112482E-01
    507  15.14996     0.9994804     0.3124905E-01
    508  15.17996     0.9995726     0.3087872E-01
    509  15.20996      1.000445     0.2937003E-01
    510  15.23996      1.000079     0.2527769E-01
    511  15.26996     0.9997858     0.3065205E-01
    512  15.29996      1.000167     0.2765155E-01
    513  15.32996      1.000280     0.2837708E-01
    514  15.35996      1.000826     0.2027102E-01
    515  15.38996      1.000666     0.2141490E-01
    516  15.41996     0.9999552     0.3095295E-01
    517  15.44996      1.000485     0.2515715E-01
    518  15.47996      1.000333     0.2926227E-01
    519  15.50996      1.000011     0.3174391E-01
    520  15.53996      1.000049     0.3649555E-01
    521  15.56996      1.000588     0.2391581E-01
    522  15.59996      1.000213     0.3190685E-01
    523  15.62996      1.000599     0.2354154E-01
    524  15.65996      1.000898     0.1901164E-01
    525  15.68996      1.000970     0.2378837E-01
    526  15.71996      1.001084     0.2218055E-01
    527  15.74996      1.001158     0.2385592E-01
    528  15.77995      1.000309     0.3260717E-01
    529  15.80995      1.000447     0.2876511E-01
    530  15.83995      1.001503     0.1615761E-01
    531  15.86995      1.001433     0.1732539E-01
    532  15.89995      1.001441     0.1911170E-01
    533  15.92995      1.000189     0.3340358E-01
    534  15.95995      1.000597     0.2545861E-01
    535  15.98995      1.000823     0.2241046E-01
    536  16.01995      1.000947     0.2989103E-01
    537  16.04996      1.000955     0.2652720E-01
    538  16.07996      1.000707     0.2995278E-01
    539  16.10996     0.9992954     0.3361436E-01
    540  16.13996      1.000185     0.3575973E-01
    541  16.16996     0.9999147     0.3628261E-01
    542  16.19996     0.9998155     0.3181425E-01
    543  16.22996     0.9998809     0.3327485E-01
    544  16.25996     0.9996961     0.3423196E-01
    545  16.28996      1.000156     0.3576973E-01
    546  16.31996     0.9992904     0.3033343E-01
    547  16.34996     0.9995304     0.3288203E-01
    548  16.37996     0.9991030     0.2833399E-01
    549  16.40996     0.9995640     0.2994183E-01
    550  16.43996     0.9996153     0.3375327E-01
    551  16.46996     0.9994863     0.3470234E-01
    552  16.49997     0.9997409     0.3468945E-01
    553  16.52997     0.9997854     0.2943388E-01
    554  16.55997      1.000147     0.3709331E-01
    555  16.58997      1.000013     0.3855412E-01
    556  16.61997      1.000292     0.3552896E-01
    557  16.64997      1.000071     0.3774796E-01
    558  16.67997     0.9998970     0.3291646E-01
    559  16.70997      1.000285     0.3664387E-01
    560  16.73997      1.001364     0.2406984E-01
    561  16.76997      1.000001     0.3974621E-01
    562  16.79997      1.000387     0.3673322E-01
    563  16.82997      1.000562     0.3624646E-01
    564  16.85997      1.000609     0.3862672E-01
    565  16.88997      1.000906     0.3675269E-01
    566  16.91998      1.001797     0.2713588E-01
    567  16.94998      1.000006     0.3887896E-01
    568  16.97998      1.000596     0.3800133E-01
    569  17.00998      1.000599     0.3774007E-01
    570  17.03998      1.001187     0.3480867E-01
    571  17.06998      1.000676     0.3621355E-01
    572  17.09998      1.001464     0.3295266E-01
    573  17.12998      1.000521     0.3664550E-01
    574  17.15998      1.001559     0.3286028E-01
    575  17.18998      1.001657     0.3262179E-01
    576  17.21998      1.001649     0.3638924E-01
    577  17.24998      1.001811     0.3800761E-01
    578  17.27998      1.001547     0.3267656E-01
    579  17.30998      1.001732     0.3861283E-01
    580  17.33998      1.001811     0.3990038E-01
    581  17.36999      1.001512     0.3695647E-01
    582  17.39999      1.000019     0.0000000E+00
    583  30.29982     0.9620583     0.3893794E-01
